[2024-05-22T04:50:59.165+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: name_gender_v2.perform_etl scheduled__2024-05-21T02:00:00+00:00 [queued]>
[2024-05-22T04:50:59.169+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: name_gender_v2.perform_etl scheduled__2024-05-21T02:00:00+00:00 [queued]>
[2024-05-22T04:50:59.169+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2024-05-22T04:50:59.175+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): perform_etl> on 2024-05-21 02:00:00+00:00
[2024-05-22T04:50:59.178+0000] {standard_task_runner.py:57} INFO - Started process 422 to run task
[2024-05-22T04:50:59.180+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'scheduled__2024-05-21T02:00:00+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmpqfl7cwh1']
[2024-05-22T04:50:59.183+0000] {standard_task_runner.py:85} INFO - Job 16: Subtask perform_etl
[2024-05-22T04:50:59.209+0000] {task_command.py:416} INFO - Running <TaskInstance: name_gender_v2.perform_etl scheduled__2024-05-21T02:00:00+00:00 [running]> on host b8721ae4b73c
[2024-05-22T04:50:59.245+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='name_gender_v2' AIRFLOW_CTX_TASK_ID='perform_etl' AIRFLOW_CTX_EXECUTION_DATE='2024-05-21T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-05-21T02:00:00+00:00'
[2024-05-22T04:50:59.247+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:314: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2024-05-22T04:50:59.246+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2024-05-21T02:00:00+00:00
[2024-05-22T04:50:59.247+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2024-05-22T04:50:59.776+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2024-05-22T04:50:59.777+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2024-05-22T04:50:59.778+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2024-05-22T04:50:59.778+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2024-05-22T04:50:59.994+0000] {logging_mixin.py:154} INFO - Adaleigh - F
[2024-05-22T04:51:00.028+0000] {logging_mixin.py:154} INFO - Amryn - Unisex
[2024-05-22T04:51:00.066+0000] {logging_mixin.py:154} INFO - Apurva - Unisex
[2024-05-22T04:51:00.106+0000] {logging_mixin.py:154} INFO - Aryion - M
[2024-05-22T04:51:00.144+0000] {logging_mixin.py:154} INFO - Alixia - F
[2024-05-22T04:51:00.176+0000] {logging_mixin.py:154} INFO - Alyssarose - F
[2024-05-22T04:51:00.211+0000] {logging_mixin.py:154} INFO - Arvell - M
[2024-05-22T04:51:00.259+0000] {logging_mixin.py:154} INFO - Aibel - M
[2024-05-22T04:51:00.311+0000] {logging_mixin.py:154} INFO - Atiyyah - F
[2024-05-22T04:51:00.341+0000] {logging_mixin.py:154} INFO - Adlie - F
[2024-05-22T04:51:00.374+0000] {logging_mixin.py:154} INFO - Anyely - F
[2024-05-22T04:51:00.404+0000] {logging_mixin.py:154} INFO - Aamoni - F
[2024-05-22T04:51:00.436+0000] {logging_mixin.py:154} INFO - Ahman - M
[2024-05-22T04:51:00.470+0000] {logging_mixin.py:154} INFO - Arlane - F
[2024-05-22T04:51:00.510+0000] {logging_mixin.py:154} INFO - Armoney - F
[2024-05-22T04:51:00.541+0000] {logging_mixin.py:154} INFO - Atzhiry - F
[2024-05-22T04:51:00.589+0000] {logging_mixin.py:154} INFO - Antonette - F
[2024-05-22T04:51:00.636+0000] {logging_mixin.py:154} INFO - Akeelah - F
[2024-05-22T04:51:00.671+0000] {logging_mixin.py:154} INFO - Abdikadir - M
[2024-05-22T04:51:00.728+0000] {logging_mixin.py:154} INFO - Arinze - M
[2024-05-22T04:51:00.768+0000] {logging_mixin.py:154} INFO - Arshaun - M
[2024-05-22T04:51:00.800+0000] {logging_mixin.py:154} INFO - Alexandro - M
[2024-05-22T04:51:00.833+0000] {logging_mixin.py:154} INFO - Ayriauna - F
[2024-05-22T04:51:00.866+0000] {logging_mixin.py:154} INFO - Aqib - M
[2024-05-22T04:51:00.897+0000] {logging_mixin.py:154} INFO - Alleya - F
[2024-05-22T04:51:00.923+0000] {logging_mixin.py:154} INFO - Aavah - F
[2024-05-22T04:51:00.951+0000] {logging_mixin.py:154} INFO - Anesti - Unisex
[2024-05-22T04:51:00.981+0000] {logging_mixin.py:154} INFO - Adalaide - F
[2024-05-22T04:51:01.013+0000] {logging_mixin.py:154} INFO - Analena - F
[2024-05-22T04:51:01.041+0000] {logging_mixin.py:154} INFO - Alaeyah - F
[2024-05-22T04:51:01.075+0000] {logging_mixin.py:154} INFO - Albena - F
[2024-05-22T04:51:01.112+0000] {logging_mixin.py:154} INFO - Aimi - F
[2024-05-22T04:51:01.185+0000] {logging_mixin.py:154} INFO - Adwaith - M
[2024-05-22T04:51:01.246+0000] {logging_mixin.py:154} INFO - Arkady - M
[2024-05-22T04:51:01.305+0000] {logging_mixin.py:154} INFO - Astyn - Unisex
[2024-05-22T04:51:01.366+0000] {logging_mixin.py:154} INFO - Adelee - F
[2024-05-22T04:51:01.424+0000] {logging_mixin.py:154} INFO - Agata - F
[2024-05-22T04:51:01.461+0000] {logging_mixin.py:154} INFO - Alegna - F
[2024-05-22T04:51:01.498+0000] {logging_mixin.py:154} INFO - Altan - M
[2024-05-22T04:51:01.541+0000] {logging_mixin.py:154} INFO - Ahnaleigh - F
[2024-05-22T04:51:01.583+0000] {logging_mixin.py:154} INFO - Algie - Unisex
[2024-05-22T04:51:01.695+0000] {logging_mixin.py:154} INFO - Ashanti - F
