[2024-05-22T04:52:04.818+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: name_gender_v4.extract scheduled__2024-05-21T02:00:00+00:00 [queued]>
[2024-05-22T04:52:04.822+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: name_gender_v4.extract scheduled__2024-05-21T02:00:00+00:00 [queued]>
[2024-05-22T04:52:04.822+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2024-05-22T04:52:04.827+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract> on 2024-05-21 02:00:00+00:00
[2024-05-22T04:52:04.830+0000] {standard_task_runner.py:57} INFO - Started process 440 to run task
[2024-05-22T04:52:04.832+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v4', 'extract', 'scheduled__2024-05-21T02:00:00+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v4.py', '--cfg-path', '/tmp/tmp9n9l29s6']
[2024-05-22T04:52:04.835+0000] {standard_task_runner.py:85} INFO - Job 17: Subtask extract
[2024-05-22T04:52:04.856+0000] {task_command.py:416} INFO - Running <TaskInstance: name_gender_v4.extract scheduled__2024-05-21T02:00:00+00:00 [running]> on host b8721ae4b73c
[2024-05-22T04:52:04.889+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='name_gender_v4' AIRFLOW_CTX_TASK_ID='extract' AIRFLOW_CTX_EXECUTION_DATE='2024-05-21T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-05-21T02:00:00+00:00'
[2024-05-22T04:52:04.896+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:314: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2024-05-22T04:52:04.895+0000] {NameGenderCSVtoRedshift_v4.py:28} INFO - 2024-05-21T02:00:00+00:00
[2024-05-22T04:52:05.445+0000] {python.py:194} INFO - Done. Returned value was: name,gender
Adaleigh,F
Amryn,Unisex
Apurva,Unisex
Aryion,M
Alixia,F
Alyssarose,F
Arvell,M
Aibel,M
Atiyyah,F
Adlie,F
Anyely,F
Aamoni,F
Ahman,M
Arlane,F
Armoney,F
Atzhiry,F
Antonette,F
Akeelah,F
Abdikadir,M
Arinze,M
Arshaun,M
Alexandro,M
Ayriauna,F
Aqib,M
Alleya,F
Aavah,F
Anesti,Unisex
Adalaide,F
Analena,F
Alaeyah,F
Albena,F
Aimi,F
Adwaith,M
Arkady,M
Astyn,Unisex
Adelee,F
Agata,F
Alegna,F
Altan,M
Ahnaleigh,F
Algie,Unisex
Ashanti,F
Aislyn,F
Adaleine,F
Anthnoy,M
Algernon,M
Aeryona,F
Adrinne,F
Addell,F
Avril,F
Ahni,F
Aimon,M
Adolpho,M
Ahuva,F
Aurielle,F
Aveana,F
Aliyia,F
Alesander,M
Adnrea,F
Anjae,F
Alvine,F
Adorah,F
Adlemi,F
Alesi,F
Alontae,M
Antonny,M
Adarah,F
Ayreanna,F
Antyon,M
Andia,F
Ashla,F
Aspyn,F
Antwanett,F
Aundreia,F
Audella,F
Amari,Unisex
Arsha,Unisex
Aricella,F
Adan,M
Apasra,F
Alaysha,F
Anderson,M
Aurelius,M
Aerial,F
Averleigh,F
Aslean,F
Arniesha,F
Asyana,F
Annjane,F
Amabella,F
Austinjohn,M
Arloween,F
Alula,M
Anemone,F
Amorina,F
Anureet,F
Arric,M
Antonne,M
Alyre,M
Annaise,F

[2024-05-22T04:52:05.470+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=name_gender_v4, task_id=extract, execution_date=20240521T020000, start_date=20240522T045204, end_date=20240522T045205
[2024-05-22T04:52:05.492+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2024-05-22T04:52:05.511+0000] {taskinstance.py:2778} INFO - 1 downstream tasks scheduled from follow-on schedule check
